,0,1,2,3,4,5
0,MK HOUSE TENDEAN,2-star hotel,4.4,(547),"['Free Wi-Fi', 'Air conditioning']","IDR 113,502"
1,New Priok Indah Syariah Hotel,2-star hotel,4.3,(235),"['Free breakfast', 'Free Wi-Fi']","IDR 148,875"
2,Green Bamboo Residence,2-star hotel,4.2,"(1,630)","['Breakfast', 'Free Wi-Fi']","IDR 162,288"
3,RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']",DEAL
4,Zest Airport Jakarta by Swiss-Belhotel International,2-star hotel,4.2,"(4,237)","['Breakfast', 'Free Wi-Fi']","IDR 390,258"
5,OYO 266 Margonda Residence 5,2-star hotel,4.1,(191),"['Free Wi-Fi', 'Free parking']",GREAT DEAL
6,ibis budget Jakarta Airport,2-star hotel,4.2,"(9,527)","['Breakfast ($)', 'Free Wi-Fi']","IDR 363,825"
7,OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking']",GREAT DEAL
8,Whiz Hotel Cikini Jakarta,2-star hotel,4.1,"(2,892)","['Free breakfast', 'Free Wi-Fi']","IDR 334,396"
9,Amaris Hotel Slipi Jakarta,2-star hotel,4.5,(406),"['Free breakfast', 'Free Wi-Fi']","IDR 369,600"
10,POP! Hotel Tebet,2-star hotel,4.1,"(2,835)","['Free breakfast', 'Free Wi-Fi']","IDR 298,703"
11,An Hotel Jakarta,2-star hotel,3.8,(711),"['Free Wi-Fi', 'Air conditioning']","IDR 234,485"
12,Clay Hotel,2-star hotel,4.0,"(1,548)","['Free breakfast', 'Free Wi-Fi']","IDR 245,702"
13,Daun Residence,2-star hotel,4.5,(205),"['Free Wi-Fi', 'Parking']","IDR 363,125"
